날짜,기관,공고명,키워드,마감,링크
2026-09-04,부산정보산업진흥원,2026년 AX 에이지테크 시장확산 지원사업 모집 공고,에이지테크,,https://bipa.kr/board/business/view?seq=85330
2026-09-04,부산정보산업진흥원,2026 해양문화도시 기반의 에이지테크 실증거점 조성 사업 「CES 2027 통합 부산관」 참가기업 모집 공고,에이지테크,,https://bipa.kr/board/business/view?seq=85329
2026-09-04,부산테크노파크,부산안전산업존(BSI-Zone) 초기창업자 2차 모집공고 부산안전산업존(BSI-Zone) 초기창업자 2차 모집공고,재난안전,2026.09.01 ~ 2026.09.10,https://www.btp.or.kr/kor/CMS/Board/Board.do?mCode=MN013&mode=view&mgr_seq=16&board_seq=9582347
2026-09-04,부산테크노파크,2025 급경사지-산사태 안전산업 진흥시설 구축 사업 「급경사지-산사태 안전 산업 분야 기술닥터제」 참여기업 모집 공고 2025 급경사지-산사태 안전산업 진흥시설 구축 사업 「급경사지-산사태 안전 산업 분야 기술닥터제」 ...,재난안전,2026.08.31 ~ 2026.09.14,https://www.btp.or.kr/kor/CMS/Board/Board.do?mCode=MN013&mode=view&mgr_seq=16&board_seq=9582354
2026-09-04,고령친화산업지원센터,[공고] 2026년 1차 고령친화우수제품 지정 공고,고령친화사업,,https://www.khidi.or.kr/board/view?pageNum=1&rowCnt=10&no1=416&linkId=48948098&menuId=MENU00325&maxIndex=00489480989998&minIndex=00488584939998&schType=0&schText=&schStartDate=&schEndDate=&boardStyle=&categoryId=&continent=&country=
2026-09-04,고령친화산업지원센터,[공고] 2026년 고령친화산업 육성 유공자 정부 포상 추천계획 공고,"고령친화사업,수상",,https://www.khidi.or.kr/board/view?pageNum=1&rowCnt=10&no1=415&linkId=48947840&menuId=MENU00325&maxIndex=00489480989998&minIndex=00488584939998&schType=0&schText=&schStartDate=&schEndDate=&boardStyle=&categoryId=&continent=&country=
2026-09-04,고령친화산업지원센터,고령친화우수제품 안내 책자 (2025년 기준),고령친화사업,,https://www.khidi.or.kr/board/view?pageNum=1&rowCnt=10&no1=413&linkId=48946800&menuId=MENU00325&maxIndex=00489480989998&minIndex=00488584939998&schType=0&schText=&schStartDate=&schEndDate=&boardStyle=&categoryId=&continent=&country=
2026-09-04,부산사회서비스원,"부산형 통합돌봄「부산, 함께돌봄」우수사례 공모 계획",시니어돌봄,,https://busan.pass.or.kr/SW_bbs/notice/view.php?zipEncode===qpTvNBFLNBV1wzYv2yM0tz0f2qKjxyVjMjxvusw1tzWLhvJnwqKjxyVjMjWCZm90wDU91DLLMDM0dzSvwAMLxzRzspL1wyULxzRzszJLgDV52xxnvpeLezYf2BIzsp1DMjX0tzNfgC39MBMahAW5cDZLgBVu2yPr3BU9YCIj2xxn1l9WMC19fDZLgB
2026-09-04,부산사회서비스원,2026년 부산사회서비스원 청년 돌봄이음(고립은둔청년 지원) 통합접수창구 상시운영,시니어돌봄,,https://busan.pass.or.kr/SW_bbs/notice/view.php?zipEncode===qpTvNBFLNBV1wzYv2yM0tz0f2qKjxyVjMjxvusw1tzWLhvJnwqKjxyVjMj2uZm90wDU91DLLMDM0dzSvwAMLxzRzspL1wyULxzRzszJLgDV52xxnvpeLezYf2BIzsp1DMjX0tzNfgC39MBMahAW5cDZLgBVu2yPr3BU9YCIj2xxn1l9WMC19fDZLgB
2026-09-04,부산사회서비스원,「2026년 긴급돌봄 지원사업」 제공기관 현황,시니어돌봄,,https://busan.pass.or.kr/SW_bbs/notice/view.php?zipEncode===qpTvNBFLNBV1wzYv2yM0tz0f2qKjxyVjMjxvusw1tzWLhvJnwqKjxyVjMj0mZm90wDU91DLLMDM0dzSvwAMLxzRzspL1wyULxzRzszJLgDV52xxnvpeLezYf2BIzsp1DMjX0tzNfgC39MBMahAW5cDZLgBVu2yPr3BU9YCIj2xxn1l9WMC19fDZLgB
